Date,Day,CodedDay,Zone,Weather,Temperature,Traffic,year,month,day,is_weekend
2017-01-27,Friday,5,100,23,16,Normal,2017,1,27,0
2017-04-09,Saturday,6,80,21,45,Normal,2017,4,9,1
2017-04-09,Saturday,6,77,32,15,Normal,2017,4,9,1
2017-10-28,Friday,5,126,21,25,Normal,2017,10,28,0
2017-02-04,Friday,5,42,34,29,Normal,2017,2,4,0
2017-11-02,Wednesday,3,78,41,12,Normal,2017,11,2,0
2017-06-08,Wednesday,3,127,24,27,Normal,2017,6,8,0
2017-12-02,Friday,5,93,8,38,Normal,2017,12,2,0
2017-05-05,Thursday,4,78,3,26,Normal,2017,5,5,0
2017-01-03,Tuesday,2,110,35,10,Normal,2017,1,3,0
2017-01-11,Wednesday,3,67,26,37,Normal,2017,1,11,0
2017-08-15,Monday,1,20,41,23,Normal,2017,8,15,0
2017-11-27,Sunday,7,96,39,11,Normal,2017,11,27,1
2017-11-07,Monday,1,94,42,36,Normal,2017,11,7,0
2017-03-13,Sunday,7,50,15,6,Normal,2017,3,13,1
2017-02-26,Saturday,6,90,16,20,Normal,2017,2,26,1
2017-07-08,Friday,5,79,0,7,Normal,2017,7,8,0
2017-10-31,Monday,1,54,4,12,Normal,2017,10,31,0
2017-06-26,Sunday,7,35,37,27,Normal,2017,6,26,1
2017-08-21,Sunday,7,99,26,13,Normal,2017,8,21,1
2017-05-26,Thursday,4,50,15,11,Normal,2017,5,26,0
2017-03-03,Thursday,4,72,26,9,Normal,2017,3,3,0
2017-03-09,Wednesday,3,85,33,36,Normal,2017,3,9,0
2017-02-13,Sunday,7,57,4,9,Normal,2017,2,13,1
2017-12-03,Saturday,6,117,39,11,Normal,2017,12,3,1
2017-01-01,Sunday,7,26,26,31,Normal,2017,1,1,1
2017-08-05,Friday,5,100,19,28,Normal,2017,8,5,0
2017-06-19,Sunday,7,114,41,6,Normal,2017,6,19,1
2017-02-05,Saturday,6,22,10,33,Normal,2017,2,5,1
2017-12-17,Saturday,6,82,41,24,Normal,2017,12,17,1
2017-03-01,Tuesday,2,61,41,15,Normal,2017,3,1,0
2017-02-01,Tuesday,2,88,31,15,Normal,2017,2,1,0
2017-08-05,Friday,5,21,10,17,Normal,2017,8,5,0
2017-03-19,Saturday,6,16,0,36,Normal,2017,3,19,1
2017-08-27,Saturday,6,89,20,15,Normal,2017,8,27,1
2017-12-27,Tuesday,2,93,3,28,Normal,2017,12,27,0
2017-10-15,Saturday,6,120,33,38,Normal,2017,10,15,1
2017-04-12,Tuesday,2,100,18,26,Normal,2017,4,12,0
2017-08-16,Tuesday,2,59,42,15,Normal,2017,8,16,0
2017-03-07,Monday,1,102,6,6,Normal,2017,3,7,0
2017-09-02,Friday,5,115,38,15,Normal,2017,9,2,0
2017-11-18,Friday,5,64,34,15,Normal,2017,11,18,0
2017-02-05,Saturday,6,49,21,27,Normal,2017,2,5,1
2017-10-30,Sunday,7,117,10,25,Normal,2017,10,30,1
2017-06-20,Monday,1,78,10,42,Normal,2017,6,20,0
2017-11-26,Saturday,6,111,45,30,Normal,2017,11,26,1
2017-11-15,Tuesday,2,57,29,25,Normal,2017,11,15,0
2017-07-05,Tuesday,2,23,8,45,Normal,2017,7,5,0
2017-08-18,Thursday,4,84,27,28,Normal,2017,8,18,0
2017-04-14,Thursday,4,28,0,23,Normal,2017,4,14,0
2017-07-23,Saturday,6,21,39,16,Normal,2017,7,23,1
2017-06-17,Friday,5,103,3,7,Normal,2017,6,17,0
2017-11-07,Monday,1,77,33,29,Normal,2017,11,7,0
2017-10-13,Thursday,4,124,28,39,Normal,2017,10,13,0
2017-12-30,Friday,5,97,30,16,Normal,2017,12,30,0
2017-04-20,Wednesday,3,103,10,26,Normal,2017,4,20,0
2017-02-21,Monday,1,21,24,33,Normal,2017,2,21,0
2017-01-19,Thursday,4,32,39,42,Normal,2017,1,19,0
2017-05-25,Wednesday,3,67,29,16,Normal,2017,5,25,0
2017-04-26,Tuesday,2,59,21,32,Normal,2017,4,26,0
2017-08-02,Tuesday,2,100,14,11,Normal,2017,8,2,0
2017-06-09,Thursday,4,41,37,17,Normal,2017,6,9,0
2017-03-22,Tuesday,2,22,21,25,Normal,2017,3,22,0
2017-08-28,Sunday,7,75,38,34,Normal,2017,8,28,1
2017-10-21,Friday,5,25,33,18,Normal,2017,10,21,0
2017-12-02,Friday,5,110,29,31,Normal,2017,12,2,0
2017-02-15,Tuesday,2,32,42,38,Normal,2017,2,15,0
2017-08-25,Thursday,4,101,9,29,Normal,2017,8,25,0
2017-03-09,Wednesday,3,50,12,26,Normal,2017,3,9,0
2017-02-07,Monday,1,74,5,44,Normal,2017,2,7,0
2017-06-16,Thursday,4,104,14,29,Normal,2017,6,16,0
2017-02-14,Monday,1,70,46,30,Normal,2017,2,14,0
2017-10-21,Friday,5,98,33,22,Normal,2017,10,21,0
2017-02-19,Saturday,6,55,31,25,Normal,2017,2,19,1
2017-06-24,Friday,5,115,6,16,Normal,2017,6,24,0
2017-12-07,Wednesday,3,46,46,29,Normal,2017,12,7,0
2017-03-26,Saturday,6,25,6,44,Normal,2017,3,26,1
2017-11-13,Sunday,7,85,38,11,Normal,2017,11,13,1
2017-01-07,Saturday,6,55,16,6,Normal,2017,1,7,1
2017-05-14,Saturday,6,127,23,37,Normal,2017,5,14,1
2017-09-15,Thursday,4,80,25,6,Normal,2017,9,15,0
2017-03-04,Friday,5,73,17,29,Normal,2017,3,4,0
2017-12-05,Monday,1,22,36,38,Normal,2017,12,5,0
2017-07-09,Saturday,6,104,23,19,Normal,2017,7,9,1
2017-03-20,Sunday,7,120,11,38,Normal,2017,3,20,1
2017-06-21,Tuesday,2,125,43,31,Normal,2017,6,21,0
2017-03-01,Tuesday,2,118,4,8,Normal,2017,3,1,0
2017-10-18,Tuesday,2,87,29,18,Normal,2017,10,18,0
2017-08-31,Wednesday,3,115,14,40,Normal,2017,8,31,0
2017-01-16,Monday,1,50,36,31,Normal,2017,1,16,0
2017-02-12,Saturday,6,60,15,41,Normal,2017,2,12,1
2017-07-14,Thursday,4,102,22,10,Normal,2017,7,14,0
2017-05-21,Saturday,6,44,18,29,Normal,2017,5,21,1
2017-11-12,Saturday,6,26,14,9,Normal,2017,11,12,1
2017-01-28,Saturday,6,85,44,23,Normal,2017,1,28,1
2017-06-01,Wednesday,3,130,27,18,Normal,2017,6,1,0
2017-03-17,Thursday,4,49,8,33,Normal,2017,3,17,0
2017-10-27,Thursday,4,97,41,9,Normal,2017,10,27,0
2017-12-23,Friday,5,107,13,45,Normal,2017,12,23,0
2017-04-21,Thursday,4,114,15,34,Normal,2017,4,21,0
2017-08-08,Monday,1,22,13,12,Normal,2017,8,8,0
2017-08-17,Wednesday,3,90,27,25,Normal,2017,8,17,0
2017-10-24,Monday,1,53,45,18,Normal,2017,10,24,0
2017-01-20,Friday,5,122,19,42,Normal,2017,1,20,0
2017-05-24,Tuesday,2,80,28,37,Normal,2017,5,24,0
2017-03-11,Friday,5,86,7,19,Normal,2017,3,11,0
2017-01-07,Saturday,6,68,30,35,Normal,2017,1,7,1
2017-07-20,Wednesday,3,25,42,39,Normal,2017,7,20,0
2017-04-16,Saturday,6,87,15,8,Normal,2017,4,16,1
2017-08-08,Monday,1,52,19,29,Normal,2017,8,8,0
2017-07-28,Thursday,4,105,32,39,Normal,2017,7,28,0
2017-02-04,Friday,5,77,18,37,Normal,2017,2,4,0
2017-08-04,Thursday,4,52,7,40,Normal,2017,8,4,0
2017-12-13,Tuesday,2,125,3,24,Normal,2017,12,13,0
2017-01-11,Wednesday,3,35,40,43,Normal,2017,1,11,0
2017-02-17,Thursday,4,51,3,26,Normal,2017,2,17,0
2017-02-26,Saturday,6,113,32,25,Normal,2017,2,26,1
2017-01-11,Wednesday,3,21,37,38,Normal,2017,1,11,0
2017-07-06,Wednesday,3,30,42,11,Normal,2017,7,6,0
2017-06-18,Saturday,6,36,36,23,Normal,2017,6,18,1
2017-03-10,Thursday,4,118,36,42,Normal,2017,3,10,0
2017-03-03,Thursday,4,53,43,10,Normal,2017,3,3,0
2017-01-28,Saturday,6,80,32,40,Normal,2017,1,28,1
2017-04-02,Saturday,6,47,26,7,Normal,2017,4,2,1
2017-05-03,Tuesday,2,83,3,9,Normal,2017,5,3,0
2017-05-03,Tuesday,2,80,7,18,Normal,2017,5,3,0
2017-09-10,Saturday,6,114,45,11,Normal,2017,9,10,1
2017-05-04,Wednesday,3,56,22,18,Normal,2017,5,4,0
2017-09-22,Thursday,4,63,41,19,Normal,2017,9,22,0
2017-12-27,Tuesday,2,82,34,45,Normal,2017,12,27,0
2017-08-26,Friday,5,125,12,28,Normal,2017,8,26,0
2017-08-21,Sunday,7,21,19,12,Normal,2017,8,21,1
2017-06-13,Monday,1,47,38,10,Normal,2017,6,13,0
2017-11-17,Thursday,4,126,8,39,Normal,2017,11,17,0
2017-09-20,Tuesday,2,106,20,22,Normal,2017,9,20,0
2017-08-06,Saturday,6,60,30,13,Normal,2017,8,6,1
2017-08-10,Wednesday,3,114,20,22,Normal,2017,8,10,0
2017-08-09,Tuesday,2,28,14,8,Normal,2017,8,9,0
2017-11-02,Wednesday,3,75,33,30,Normal,2017,11,2,0
2017-11-11,Friday,5,33,33,13,Normal,2017,11,11,0
2017-08-05,Friday,5,99,29,39,Normal,2017,8,5,0
2017-08-15,Monday,1,90,17,30,Normal,2017,8,15,0
2017-05-07,Saturday,6,27,32,15,Normal,2017,5,7,1
2017-10-21,Friday,5,34,17,12,Normal,2017,10,21,0
2017-07-06,Wednesday,3,43,30,42,Normal,2017,7,6,0
2017-09-12,Monday,1,69,4,17,Normal,2017,9,12,0
2017-06-04,Saturday,6,55,11,21,Normal,2017,6,4,1
2017-01-23,Monday,1,119,15,44,Normal,2017,1,23,0
2017-02-17,Thursday,4,47,11,40,Normal,2017,2,17,0
2017-12-24,Saturday,6,32,7,18,Normal,2017,12,24,1
2017-11-06,Sunday,7,53,1,25,Normal,2017,11,6,1
2017-05-29,Sunday,7,123,24,45,Normal,2017,5,29,1
2017-01-17,Tuesday,2,27,21,13,Normal,2017,1,17,0
2017-05-13,Friday,5,84,37,12,Normal,2017,5,13,0
2017-04-11,Monday,1,51,7,17,Normal,2017,4,11,0
2017-03-28,Monday,1,41,33,10,Normal,2017,3,28,0
2017-01-12,Thursday,4,31,42,14,Normal,2017,1,12,0
2017-06-29,Wednesday,3,36,18,29,Normal,2017,6,29,0
2017-11-16,Wednesday,3,103,9,15,Normal,2017,11,16,0
2017-07-08,Friday,5,19,22,30,Normal,2017,7,8,0
2017-04-17,Sunday,7,54,11,22,Normal,2017,4,17,1
2017-06-18,Saturday,6,130,23,24,Normal,2017,6,18,1
2017-06-27,Monday,1,82,10,45,Normal,2017,6,27,0
2017-12-26,Monday,1,93,15,27,Normal,2017,12,26,0
2017-04-13,Wednesday,3,114,10,28,Normal,2017,4,13,0
2017-10-16,Sunday,7,73,5,10,Normal,2017,10,16,1
2017-05-30,Monday,1,111,46,15,Normal,2017,5,30,0
